Host,Citations
Alces alces,555
Axis axis,76
Bos frontalis,113
Bos grunniens,359
Bos javanicus,71
Bos taurus,3952
Boselaphus tragocamelus,35
Bubalus bubalis,1976
Camelus bactrianus,177
Camelus dromedarius,1238
Canis familiaris,1241
Canis lupus familiaris,430
Capra hircus,1029
Cavia porcellus,675
Cervus elaphus,1795
Cervus nippon,443
Cricetomys gambianus,116
Dama dama,437
Elephas maximus,591
Equus africanus,31
Equus asinus,382
Equus caballus,771
Equus ferus,110
Felis catus,1046
Hydrochoerus hydrochaeris,134
Lama glama,312
Lama pacos,156
Mus musculus,5520
Neovison vison,285
Ondatra zibethicus,126
Oryctolagus cuniculus,1851
Ovis aries,1395
Rangifer tarandus,757
Rattus rattus,1051
Vicugna pacos,234
Vicugna vicugna,40
Bos taurus indicus,135
Abrothrix longipilis,12
Abrothrix olivaceus,9
Abrothrix sanborni,1
Acomys cahirinus,276
Acomys dimidiatus,26
Aethomys kaiseri,3
Aethomys namaquensis,11
Akodon azarae,60
Akodon cursor,34
Akodon montensis,52
Akodon obscurus,5
Akodon paranaensis,10
Akodon simulator,3
Akodon varius,1
Alces americanus,24
Allactaga williamsi,1
Alouatta seniculus,78
Ammospermophilus nelsoni,2
Anoura caudifer,6
Anoura geoffroyi,15
Antrozous pallidus,34
Apodemus agrarius,410
Apodemus argenteus,44
Apodemus chevrieri,20
Apodemus flavicollis,371
Apodemus latronum,5
Apodemus mystacinus,13
Apodemus pallipes,1
Apodemus peninsulae,73
Apodemus speciosus,119
Apodemus sylvaticus,483
Apodemus uralensis,28
Artibeus fimbriatus,5
Artibeus jamaicensis,104
Artibeus lituratus,110
Artibeus obscurus,9
Artibeus planirostris,39
Arvicanthis neumanni,3
Arvicanthis niloticus,177
Arvicola amphibius,34
Arvicola scherman,9
Aselliscus stoliczkanus,12
Atelerix albiventris,116
Baiomys taylori,15
Balaenoptera acutorostrata,167
Balaenoptera borealis,42
Balaenoptera physalus,198
Balionycteris maculata,742
Bandicota bengalensis,83
Bandicota indica,77
Barbastella barbastellus,24
Bauerus dubiaquercus,0
Bibimys chacoensis,0
Cabassous centralis,1
Callicebus oenanthe,6
Callorhinus ursinus,186
Callosciurus finlaysonii,6
Callosciurus notatus,10
Callospermophilus lateralis,13
Calomys callosus,110
Calomys laucha,29
Calomys musculinus,56
Calomys tener,10
Caluromys derbianus,9
Caluromys philander,20
Carollia brevicauda,19
Carollia perspicillata,203
Carollia sowelli,8
Carollia subrufa,1
Cercopithecus kandti,1
Cercopithecus preussi,3
Cercopithecus solatus,7
Cercopithecus wolfi,4
Chaerephon plicatus,3
Chaetodipus hispidus,7
Chaetodipus spinatus,2
Chaetophractus vellerosus,22
Chionomys roberti,2
Choloepus hoffmanni,71
Chrotopterus auritus,7
Coendou melanurus,1
Coendou rothschildi,3
Coleura afra,4
Corynorhinus townsendii,9
Craseonycteris thonglongyai,1
Crocidura attenuata,7
Crocidura goliath,1
Crocidura leucodon,24
Crocidura montis,0
Crocidura olivieri,11
Crocidura russula,115
Ctenodactylus gundi,14
Cynictis penicillata,15
Cynomops abrasus,2
Cynomops planirostris,3
Cynopterus brachyotis,46
Cynopterus horsfieldii,0
Cystophora cristata,119
Dasymys incomtus,3
Dasymys rufulus,1
Dasyprocta punctata,9
Dasyurus geoffroii,7
Delphinus delphis,219
Deomys ferrugineus,0
Dephomys defua,0
Dermanura cinereus,0
Dermanura phaeotis,4
Dermanura toltecus,0
Desmodillus auricularis,6
Desmodus rotundus,387
Diaemus youngi,13
Diclidurus albus,3239
Didelphis albiventris,204
Diphylla ecaudata,18
Diplomys labilis,0
Dipodomys heermanni,4
Dipodomys merriami,69
Dipodomys nitratoides,1
Dorcopsis muelleri,5
Dyacopterus spadiceus,54
Echinosorex gymnura,2
Eothenomys cachinus,2
Eothenomys miletus,24
Epomops dobsonii,0
Eptesicus brasiliensis,2
Eptesicus diminutus,4
Eptesicus furinalis,10
Eptesicus fuscus,514
Eptesicus serotinus,77
Erinaceus amurensis,6
Erinaceus concolor,14
Erinaceus europaeus,388
Erinaceus roumanicus,28
Eschrichtius robustus,66
Euderma maculatum,5
Eumetopias jubatus,179
Eumops auripendulus,2
Eumops glaucinus,6
Eumops patagonicus,2
Eumops perotis,7
Funambulus tristriatus,1
Gerbilliscus brantsii,0
Gerbilliscus kempi,2
Gerbilliscus leucogaster,2
Gerbilliscus validus,0
Gerbillus dasyurus,23
Gerbillus gerbillus,27
Glauconycteris argentata,0
Glauconycteris poensis,2
Glauconycteris variegata,0
Globicephala melas,122
Glossophaga commissarisi,7
Glossophaga longirostris,5
Glossophaga morenoi,1
Glossophaga soricina,109
Graomys griseoflavus,13
Halichoerus grypus,376
Handleyomys alfaroi,1
Handleyomys fuscatus,0
Heimyscus fumosus,0
Hemiechinus auritus,41
Heteromys anomalus,6
Hipposideros abae,1
Hipposideros bicolor,6
Hipposideros caffer,8
Hipposideros cervinus,2
Hipposideros cineraceus,1
Hipposideros curtus,0
Hipposideros cyclops,5
Hipposideros diadema,9
Hipposideros fuliginosus,1
Hipposideros galeritus,2
Hipposideros grandis,0
Hipposideros jonesi,0
Hipposideros pratti,18
Histiotus montanus,5
Histiotus velatus,5
Holochilus chacarius,6
Holochilus sciureus,4
Hoplomys gymnurus,0
Hydromys chrysogaster,20
Hylaeamys laticeps,2
Hylaeamys megacephalus,14
Hylomyscus alleni,1
Hylomyscus parvus,2
Hylomyscus stella,3
Hypsugo crassulus,1
Hypsugo musciculus,23
Hypsugo pulveratus,1
Ia io,10
Ictidomys tridecemlineatus,144
Kerivoula hardwickii,7
Kerivoula minuta,0
Kerivoula pellucida,1
Lasionycteris noctivagans,52
Lasiurus blossevillii,3
Lasiurus borealis,46
Lasiurus cinereus,61
Lasiurus ega,7
Lasiurus egregius,0
Lasiurus intermedius,1
Lasiurus seminolus,2
Lasiurus xanthinus,174
Lemmus lemmus,32
Lemmus sibiricus,22
Lemniscomys rosalia,4
Lemniscomys striatus,21
Leopoldamys neilli,2
Leptonychotes weddellii,74
Leptonycteris curasoae,20
Leptonycteris nivalis,7
Lichonycteris obscura,455
Liomys adspersus,0
Lobodon carcinophaga,7
Lonchophylla robusta,0
Lonchophylla thomasi,0
Lonchorhina aurita,5
Lophostoma brasiliense,0
Lophostoma silvicolum,5
Lophuromys flavopunctatus,9
Lophuromys nudicaudus,0
Lophuromys sikapusi,4
Loxodontomys micropus,4
Macroglossus minimus,6
Macroglossus sobrinus,1
Macronycteris vittatus,1
Macrotus californicus,16
Madromys blanfordi,16
Malacomys longipes,4
Manis tricuspis,22
Marmosa murina,14
Mastomys awashensis,1
Mastomys coucha,135
Mastomys erythroleucus,37
Mastomys huberti,17
Mastomys natalensis,530
Maxomys surifer,13
Maxomys whiteheadi,8
Megadontomys nelsoni,1
Megaerops ecaudatus,2
Megaerops niphanae,2
Melanomys caliginosus,9
Menetes berdmorei,7
Meriones crassus,85
Meriones libycus,91
Meriones meridianus,47
Mesocricetus auratus,1777
Mesophylla macconnelli,0
Metachirus nudicaudatus,17
Micoureus demerarae,11
Micromys minutus,78
Micronycteris megalotis,1
Microtus agrestis,403
Microtus arvalis,497
Microtus californicus,63
Microtus fortis,89
Microtus gregalis,13
Microtus ilaeus,2
Microtus levis,13
Microtus maximowiczii,6
Microtus ochrogaster,461
Microtus oeconomus,153
Microtus pennsylvanicus,258
Microtus subterraneus,17
Millardia meltada,24
Mimon crenulatum,4
